t;lo;la;a
1998-03-26T07:50:00;-21.5912000;-23.64090000; 215.08300
1998-03-26T07:50:00;-20.3068000;-21.13790000;  26.54260
1998-03-26T07:50:00; 38.3208000; 21.10970000; 304.27200
1998-03-26T07:50:00; 34.3369000; 21.50090000;  60.74170
1998-03-27T07:45:00;-19.5816000;-24.62650000; 781.93000
1998-03-27T07:45:00; -2.3911700;-26.28550000;  90.17720
1998-03-27T07:45:00; -7.4499100;-24.94220000;  65.77990
1998-03-27T07:45:00;  0.0000000;-24.83490000;  72.38060
1998-03-27T07:45:00; -3.0258500;-24.34340000;  42.19090
1998-03-27T07:45:00; -8.8813300;-23.47400000;  86.01100
1998-03-27T07:45:00; -6.7510500;-21.27950000;  22.67550
1998-03-27T07:45:00; 49.2059000; 21.02620000; 351.80800
1998-03-28T07:39:59; 15.4322000;-27.69380000;  49.80400
1998-03-28T07:39:59; 10.1665000;-26.51040000;  91.98210
1998-03-28T07:39:59; 20.0756000;-26.22550000;  89.44640
1998-03-28T07:39:59; -6.9429800;-24.77780000; 465.08300
1998-03-28T07:39:59; 13.3363000;-25.13840000;  53.54930
1998-03-28T07:39:59;  9.8171000;-24.40870000;  33.09680
1998-03-28T07:39:59; 61.7155000; 20.67160000; 128.34000
1998-03-29T08:03:59;  6.4427600;-24.90730000; 409.03400
1998-03-30T07:45:00; 19.2744000;-24.70050000; 305.94600
1998-03-30T07:45:00;-71.1064000;-19.60270000;  54.95600
1998-03-30T07:45:00;-65.9045000;-19.82670000;  58.89380
1998-03-31T07:54:59; 45.1244000;-26.28070000; 161.18800
1998-03-31T07:54:59; 32.8046000;-24.49770000; 682.84100
1998-03-31T07:54:59; 41.4516000;-24.90750000;  49.45230
1998-03-31T07:54:59;-57.9857000;-19.46110000;  63.09840
1998-03-31T07:54:59;-53.1231000;-19.58760000; 125.82000
1998-03-31T07:54:59;-45.2953000;-20.08600000;  54.84060
1998-03-23T07:54:59;-69.2552000;-23.00830000; 604.98100
1998-03-23T07:54:59;-55.1639000;-25.29160000;  49.52410
1998-03-23T07:54:59;-66.4472000;-23.31470000;   8.60747
1998-03-23T07:54:59;-59.6898000;-23.69150000; 121.91500
1998-03-23T07:54:59;-53.7293000;-24.43710000;  23.80030
1998-03-23T07:54:59;-54.8744000;-22.52920000; 148.05900
1998-03-23T07:54:59;-61.0763000;-20.45340000;  82.72920
1998-03-23T07:54:59;-21.8587000;-19.75900000; 121.63100
1998-03-23T07:54:59;-15.2416000;-18.90220000;  77.84060
1998-03-23T07:54:59; -1.3195900; 21.67170000; 140.10100
1998-03-23T07:54:59; -5.6182100; 21.70560000;  27.61740
1998-03-23T07:54:59;  0.4960240; 22.02020000;  38.08640
1998-03-25T07:56:59;-27.7209000;-25.34320000; 244.22200
1998-03-25T07:56:59;-44.6931000;-23.87990000; 480.29100
1998-03-25T07:56:59;-34.9558000;-23.61760000; 189.07600
1998-03-25T07:56:59;-28.9528000;-23.33380000; 139.30700
1998-03-25T07:56:59; 25.9089000; 21.29220000; 353.68500
1998-03-25T07:56:59; 21.4272000; 21.40880000; 129.63000
1998-03-25T07:56:59; 18.4051000; 21.10300000;  41.27060
1998-04-01T07:50:00; 58.8799000;-26.94080000; 157.17000
1998-04-01T07:50:00; 60.2986000;-25.79760000; 113.26300
1998-04-01T07:50:00; 45.1432000;-24.62330000; 589.48300
1998-04-01T07:50:00;-34.5918000;-22.10790000;  60.86350
1998-04-01T07:50:00;-37.6040000;-20.47060000; 119.26800
1998-04-01T07:50:00;-30.8619000;-20.56620000; 187.77900
1998-04-01T07:50:00;-45.7176000;-19.71870000;  87.29250
1998-04-01T07:50:00;-40.7353000;-19.61500000; 200.59700
1998-04-02T08:50:00; 58.5018000;-24.56900000; 413.00800
1998-04-02T08:50:00;-21.3807000;-22.22090000; 125.77400
1998-04-02T08:50:00;-31.9723000;-20.59060000; 256.72100
1998-04-02T08:50:00;-24.3455000;-20.66160000; 167.85700
1998-04-02T08:50:00;-16.1004000;-20.49320000; 155.60700
1998-04-02T08:50:00;-20.8301000;-19.69820000; 111.33300
1998-04-03T08:05:00; 70.9600000;-24.50590000; 198.30800
1998-04-03T08:05:00;-19.2371000;-21.94360000; 230.55800
1998-04-03T08:05:00; -3.2811000;-20.52510000; 144.25500
1998-04-03T08:05:00;-19.6945000;-20.17630000; 104.63500
1998-04-03T08:05:00;-11.5601000;-20.56930000;  43.74700
1998-04-03T08:05:00; -7.8608500;-19.84480000; 103.04700
1998-04-04T09:49:59;-53.9183000;-21.49330000;  53.92810
1998-04-04T09:49:59;-50.4890000;-21.13610000;  33.22620
1998-04-04T09:49:59; -7.0088400;-22.66040000;  48.50870
1998-04-04T09:49:59; 10.7470000;-20.84530000; 236.61900
1998-04-04T09:49:59; -5.7714800;-21.07980000;  82.85740
1998-04-04T09:49:59; -3.4670600;-21.41740000;  53.94480
1998-04-04T09:49:59;  2.3056700;-21.10550000;  82.44710
1998-04-05T08:05:00;-40.6869000;-21.51620000;  53.21380
1998-04-05T08:05:00;-36.3013000;-21.00120000; 182.73000
1998-04-05T08:05:00; 23.1047000;-20.57100000; 223.36400
1998-04-06T07:50:00;-74.1082000;-26.70550000;  53.29160
1998-04-06T07:50:00;-29.4693000;-22.64930000; 277.58000
1998-04-06T07:50:00;-23.1152000;-21.49480000; 321.77000
1998-04-06T07:50:00; 35.8438000;-21.32480000; 138.13400
1998-04-06T07:50:00;-68.8535000;-17.15570000; 340.85800
1998-04-20T07:54:59; 29.9190000; 19.03200000;  97.68280
1998-04-20T07:54:59; 24.2826000; 20.48450000; 301.30300
1998-04-20T07:54:59; 32.5864000; 19.84040000;  46.01800
1998-04-20T07:54:59; 28.2625000; 20.14130000;  30.81680
1998-04-07T08:44:59;-16.1706000;-22.73220000;  66.11260
1998-04-07T08:44:59;-62.6513000;-19.11210000; 162.95200
1998-04-07T08:44:59; -8.3106400;-22.26280000; 118.48600
1998-04-07T08:44:59;-54.8203000;-17.41790000; 464.84000
1998-04-08T08:05:00;  3.1103300;-27.16000000; 121.62800
1998-04-08T08:05:00;  5.8306000;-26.15340000; 132.27700
1998-04-08T08:05:00; -4.0119900;-23.08780000;  98.14950
1998-04-08T08:05:00;  4.6598100;-22.44100000;  87.00980
1998-04-08T08:05:00;-50.4225000;-19.21210000; 194.82200
1998-04-08T08:05:00;-42.6889000;-17.40470000; 563.17400
1998-04-09T08:10:00;-35.8455000;-27.19090000;  85.13820
1998-04-09T08:10:00; 15.9866000;-27.54960000; 255.43500
1998-04-09T08:10:00; 19.5852000;-26.28530000; 138.35200
1998-04-09T08:10:00;  9.0745600;-23.28980000;  84.58560
1998-04-09T08:10:00; 18.0954000;-22.43440000; 140.53500
1998-04-09T08:10:00;-37.6249000;-19.75650000; 139.17000
1998-04-09T08:10:00;-29.3499000;-17.68250000; 278.30900
1998-04-10T07:45:00; 27.5141000;-27.91100000;  58.79190
1998-04-10T07:45:00;-23.7979000;-26.90500000;  16.21430
1998-04-10T07:45:00; 22.0158000;-23.53620000; 297.62000
1998-04-10T07:45:00; 30.8530000;-22.82260000; 156.86900
1998-04-10T07:45:00; -3.4737800;-21.52800000; 586.79000
1998-04-10T07:45:00;-25.0980000;-19.40710000; 131.28600
1998-04-10T07:45:00;-16.3623000;-17.66280000; 321.55400
1998-04-11T08:05:00;-10.9680000;-27.07910000;  64.69750
1998-04-11T08:05:00; 34.7672000;-23.06780000; 232.18200
1998-04-11T08:05:00; 44.5158000;-22.29270000; 292.63000
1998-04-11T08:05:00; 11.8157000;-21.21270000; 361.49100
1998-04-11T08:05:00;  6.8560500;-22.57480000;  14.65010
